text,citation
"Be still, and know that I am God.","Psalm 46:10"
"The Lord is my shepherd; I shall not want.","Psalm 23:1"
"Let all that you do be done in love.","1 Corinthians 16:14"
"Rejoice in hope, be patient in tribulation, be constant in prayer.","Romans 12:12"
"My grace is sufficient for you, for my power is made perfect in weakness.","2 Corinthians 12:9"
"Trust in the Lord with all your heart, and do not lean on your own understanding.","Proverbs 3:5"
"Your word is a lamp to my feet and a light to my path.","Psalm 119:105"
"Come to me, all who labor and are heavy laden, and I will give you rest.","Matthew 11:28"
"The steadfast love of the Lord never ceases; his mercies never come to an end.","Lamentations 3:22"
"I can do all things through him who strengthens me.","Philippians 4:13"
"The Lord is near to the brokenhearted and saves the crushed in spirit.","Psalm 34:18"
"Peace I leave with you; my peace I give to you.","John 14:27"
